College,Conf,Coach,Scheduled School Pay,Contract Year Pandemic Reduction,Actual School Pay,Total Pay,Total Pandemic Reduction,School Buyout As Of 12/1/20
The University of Alabama,SEC,Nick Saban,9100000,0,9100000,9300000,0,36800000
Louisiana State University and A & M College,SEC,Ed Orgeron,8687500,0,8687500,8918500,0,23850000
Clemson University,ACC,Dabo Swinney,8258575,0,8258575,8319775,1250000,50000000
University of Michigan,Big Ten,Jim Harbaugh,8054000,268721,7785279,8036179,554584,6367929
Texas A & M College Station,SEC,Jimbo Fisher,7500000,0,7500000,7500000,0,53125000
University of Georgia,SEC,Kirby Smart,6803600,0,6803600,6933600,0,19835834
Auburn University,SEC,Gus Malzahn,6900000,0,6900000,6927589,0,21450000
University of Oklahoma,Big 12,Lincoln Riley,6507143,300417,6202726,6202726,515000,30974666
University of Florida,SEC,Dan Mullen,6070000,0,6070000,6070000,0,12000000
The University of Texas at Austin,Big 12,Tom Herman,6000000,172083,5827917,5827917,516250,15416667
Ohio State University,Big Ten,Ryan Day,5748264,101570,5646694,5651694,236877,45464910
Michigan State University,Big Ten,Mel Tucker,5057000,99750,4957250,5057250,266000,23186513
University of Kentucky,SEC,Mark Stoops,5000000,0,5000000,5013600,0,23750000
Mississippi State University,SEC,Mike Leach,5000000,0,5000000,5000000,0,--
University of Nebraska-Lincoln,Big Ten,Scott Frost,5000000,166667,4833333,4833333,166667,25375000
University of Iowa,Big Ten,Kirk Ferentz,4900000,229250,4670750,4670750,393000,20721250
University of Utah,Pac-12,Kyle Whittingham,5000000,365822,4634178,4634178,365822,21250000
University of South Carolina,SEC,Will Muschamp,4600000,230000,4370000,4370000,470000,--
University of California-Los Angeles,Pac-12,Chip Kelly,4300000,0,4300000,4300000,0,9000000
University of Minnesota-Twin Cities,Big Ten,P.J. Fleck,4600000,318320,4281680,4281680,548320,18697250
Virginia Polytechnic Institute and State University,ACC,Justin Fuente,4250000,0,4250000,4250000,0,12500000
Oklahoma State University,Big 12,Mike Gundy,4250000,91146,4158854,4158854,312500,6351563
University of Wisconsin-Madison,Big Ten,Paul Chryst,4250000,318750,3931250,3983750,318750,15328333
University of Missouri-Columbia,SEC,Eliah Drinkwitz,4025000,100000,3925000,3925000,100000,14350000
The University of Tennessee-Knoxville,SEC,Jeremy Pruitt,3846000,0,3846000,3846000,0,12880000
University of Virginia,ACC,Bronco Mendenhall,4100000,264794,3835206,3836706,264794,16886875
University of Illinois at Urbana-Champaign,Big Ten,Lovie Smith,4000000,200000,3800000,3800000,200000,2600000
Indiana University-Bloomington,Big Ten,Tom Allen,3770000,0,3770000,3770000,50000,20550000
University of Mississippi,SEC,Lane Kiffin,3900000,135750,3764250,3764250,275250,--
Rutgers University,Big Ten,Greg Schiano,4030000,266664,3763336,3763336,266664,24600000
Arizona State University,Pac-12,Herm Edwards,3500000,0,3500000,3640000,0,16291667
University of Houston,AAC,Dana Holgorsen,3800000,190000,3610000,3610000,190000,9416667
Florida State University,ACC,Mike Norvell,4000000,468750,3531250,3531250,968750,19111719
University of North Carolina at Chapel Hill,ACC,Mack Brown,3500000,43750,3456250,3456250,112500,3156250
Iowa State University,Big 12,Matt Campbell,3700000,248562,3451438,3451438,497124,20308333
University of Kansas,Big 12,Les Miles,3450000,150000,3300000,3300000,150000,8556250
University of Arizona,Pac-12,Kevin Sumlin,3100000,216667,2883333,3283333,455000,7500000
University of California-Berkeley,Pac-12,Justin Wilcox,3350000,73752,3276248,3276248,228756,19566250
University of Cincinnati,AAC,Luke Fickell,3400000,127500,3272500,3272500,255000,23800000
North Carolina State University at Raleigh,ACC,Dave Doeren,3250000,121875,3128125,3133125,446875,5010416
Georgia Institute of Technology,ACC,Geoff Collins,3100000,0,3100000,3100000,0,17258333
University of Louisville,ACC,Scott Satterfield,3250000,162500,3087500,3087500,325000,9810938
