College,Conf,Coach,Scheduled School Pay,Contract Year Pandemic Reduction,Actual School Pay,Total Pay,Total Pandemic Reduction,Asst Pay Total
The University of Alabama,SEC,Steve Sarkisian,2500000,0,2500000,2500000,0,8850000
Auburn University,SEC,Kevin Steele,2500000,0,2500000,2500000,0,6760000
Louisiana State University and A & M College,SEC,Bo Pelini,2305000,28750,2276250,2276250,115000,7461950
Clemson University,ACC,Brent Venables,2400000,240000,2160000,2161500,240000,7641500
Texas A & M College Station,SEC,Mike Elko,2100000,0,2100000,2100000,0,7503197
University of Florida,SEC,Todd Grantham,1801500,0,1801500,1801500,0,6300000
University of Oklahoma,Big 12,Alex Grinch,1800000,81667,1718333,1718333,140000,6283333
University of Michigan,Big Ten,Don Brown,1700000,0,1700000,1700000,0,6270000
The University of Tennessee-Knoxville,SEC,Jim Chaney,1600000,0,1600000,1600000,0,6312292
The University of Texas at Austin,Big 12,Mike Yurcich,1700000,143646,1556354,1556354,246250,6329999
Clemson University,ACC,Tony Elliott,1600000,80000,1520000,1520000,201667,7641500
Ohio State University,Big Ten,Kerry Coombs,1400000,29167,1370833,1370833,52500,7859200
University of Arkansas,SEC,Barry Odom,1300000,25000,1275000,1275000,45833,5036250
University of Georgia,SEC,Dan Lanning,1250000,0,1250000,1254500,0,7244000
The University of Alabama,SEC,Pete Golding,1225000,0,1225000,1225000,0,8850000
University of South Carolina,SEC,Travaris Robinson,1200000,19250,1180750,1180750,38500,5095792
University of South Carolina,SEC,Mike Bobo,1200000,19250,1180750,1180750,38500,5095792
Ohio State University,Big Ten,Kevin Wilson,1200000,20000,1180000,1180000,45000,7859200
Ohio State University,Big Ten,Greg Mattison,1133000,18883,1114117,1114117,18883,7859200
Ohio State University,Big Ten,Larry Johnson,1133000,18883,1114117,1114117,42487,7859200
University of Georgia,SEC,Todd Monken,1100000,0,1100000,1100000,0,7244000
University of Wisconsin-Madison,Big Ten,Jim Leonhard,1128534,89460,1039074,1039074,89460,4192111
The University of Tennessee-Knoxville,SEC,Derrick Ansley,1000000,0,1000000,1000000,0,6312292
Louisiana State University and A & M College,SEC,Steve Ensminger,1000000,12500,987500,989750,50000,7461950
University of Washington,Pac-12,Pete Kwiatkowski,1000008,17500,982508,982508,31250,5059925
University of Arkansas,SEC,Kendal Briles,1000000,25000,975000,975000,25000,5036250
University of Illinois at Urbana-Champaign,Big Ten,Rod Smith,950000,11250,938750,938750,71250,4001675
Michigan State University,Big Ten,Jay Johnson,975000,39813,935187,935187,68250,5717438
Michigan State University,Big Ten,Scottie Hazelton,950000,38792,911208,911208,66500,5717438
University of Kentucky,SEC,Eddie Gran,900000,0,900000,901200,0,5781100
University of Michigan,Big Ten,Josh Gattis,900000,0,900000,900000,0,6270000
University of Kentucky,SEC,Vince Marrow,900000,0,900000,900000,0,5781100
University of Georgia,SEC,Matt Luke,900000,0,900000,900000,0,7244000
University of Missouri-Columbia,SEC,Ryan Walters,900000,22500,877500,877500,22500,4840875
Texas A & M College Station,SEC,Elijah Robinson,875000,0,875000,876200,0,7503197
University of Kentucky,SEC,Brad White,875000,0,875000,876200,0,5781100
Texas A & M College Station,SEC,Darrell Dickey,866667,0,866667,867067,0,7503197
University of Utah,Pac-12,Andy Ludwig,900000,45000,855000,855000,45000,4255000
University of Oregon,Pac-12,Joe Moorhead,900000,58125,841875,841875,99792,4770626
University of Washington,Pac-12,John Donovan,850008,14875,835133,835133,25813,5059925
University of North Carolina at Chapel Hill,ACC,Jay Bateman,900000,75000,825000,825000,135000,4868415
University of North Carolina at Chapel Hill,ACC,Phil Longo,900000,75000,825000,825000,135000,4868415
University of Maryland-College Park,Big Ten,Scottie Montgomery,829500,9375,820125,820125,19375,3569567
University of Oklahoma,Big 12,Bill Bedenbaugh,810000,0,810000,810000,0,6283333
Iowa State University,Big 12,Tom Manning,900000,90000,810000,810000,90000,4127500
Iowa State University,Big 12,Jon Heacock,900000,90000,810000,810000,90000,4127500
Rutgers University,Big Ten,Sean Gleeson,805000,0,805000,805000,0,4142701
Iowa State University,Big Ten,Phil Parker,890000,89000,801000,801000,89000,4753600
The University of Alabama,SEC,Charles Kelly,800000,0,800000,800000,0,8850000
The University of Tennessee-Knoxville,SEC,Will Friend,800000,0,800000,800000,0,6312292
Oklahoma State University,Big 12,Jim Knowles,800000,0,800000,800000,0,4736875
Oklahoma State University,Big 12,Kasey Dunn,800000,0,800000,800000,0,4736875
Louisiana State University and A & M College,SEC,Scott Linehan,805000,10000,795000,795000,40000,7461950
Florida State University,ACC,Adam Fuller,800000,12000,788000,788000,24000,5355750
Pennsylvania State University,Big Ten,Brent Pry,--,--,--,786633,--,--
University of Iowa,Big Ten,Brian Ferentz,860000,86000,774000,774600,86000,4753600
University of Nebraska-Lincoln,Big Ten,Erik Chinander,800000,26667,773333,773333,26667,4205000
University of Oregon,Pac-12,Andy Avalos,815000,52635,762365,762365,88677,4770626
University of Louisville,ACC,Dwayne Ledford,750000,0,750000,750000,0,4555000
University of Louisville,ACC,Bryan Brown,750000,0,750000,750000,0,4555000
